Disease Name,Drug Name
ADHD (Attention Deficit Hyperactivity Disorder),"amphetamine, amphetamine ,  dextroamphetamine, atomoxetine, bupropion, clonidine, dextroamphetamine, guanfacine, lisdexamfetamine, methylphenidate"
AIDS Related Wasting,"dronabinol, megestrol, somatropin"
AV Heart Block,"atropine, epinephrine, isoproterenol"
Abdominal Distension,"bethanechol, pamabrom"
Abdominal Distension Prior to Abdominal X-ray,vasopressin
Abdominal Radiological Procedure,vasopressin
Abnormal Uterine Bleeding,"desogestrel ,  ethinyl estradiol, ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, ethinyl estradiol ,  norgestimate, levonorgestrel, medroxyprogesterone, megestrol, norethindrone"
Abortion,"carboprost, dinoprostone, mifepristone, misoprostol, oxytocin"
Acetaminophen Overdose,acetylcysteine
Acidosis,sodium bicarbonate
Acne,"adapalene, benzoyl peroxide, cephalexin, clindamycin, doxycycline, isotretinoin, minocycline, spironolactone, sulfamethoxazole ,  trimethoprim, tetracycline, tretinoin"
Acromegaly,"bromocriptine, lanreotide, octreotide, pasireotide, pegvisomant"
Actinic Keratosis,"aminolevulinic acid, fluorouracil, ingenol"
Actinomycosis,"amoxicillin, doxycycline, minocycline, penicillin g potassium, penicillin g sodium"
Acute Coronary Syndrome,"clopidogrel, enoxaparin, eptifibatide, prasugrel, ticagrelor, tirofiban"
"Acute Coronary Syndrome, Prophylaxis",clopidogrel
Acute Lymphoblastic Leukemia,"asparaginase erwinia chrysanthemi, blinatumomab, dasatinib, doxorubicin, imatinib, mercaptopurine, methotrexate, pegaspargase, ponatinib, vincristine liposome"
Acute Lymphocytic Leukemia,"asparaginase erwinia chrysanthemi, asparaginase escherichia coli, cyclophosphamide, daunorubicin, methotrexate, prednisone, teniposide, vincristine"
Acute Myeloblastic Leukemia,doxorubicin
Acute Myeloid Leukemia,"cytarabine, cytarabine liposomal ,  daunorubicin liposomal, daunorubicin, decitabine, enasidenib, gemtuzumab, gilteritinib, glasdegib, idarubicin, ivosidenib, midostaurin, venetoclax, vincristine"
Acute Nonlymphocytic Leukemia,"cyclophosphamide, cytarabine, daunorubicin, isotretinoin, methotrexate, mitoxantrone, thioguanine"
Acute Otitis Externa,"ciprofloxacin, ciprofloxacin ,  hydrocortisone, colistin sulfate ,  hydrocortisone ,  neomycin ,  thonzonium bromide, dexamethasone, ofloxacin"
Acute Promyelocytic Leukemia,"arsenic trioxide, tretinoin"
Adams-Stokes Syndrome,"ephedrine, epinephrine, isoproterenol"
Addison's Disease,"dexamethasone, fludrocortisone, hydrocortisone"
Adenosine Deaminase Deficiency,"elapegademase, pegademase bovine"
Adenovirus Prophylaxis,adenovirus vaccine
Adjunct to Antibiotic Therapy,probenecid
Adrenal Cortical Carcinoma,mitotane
Adrenal Insufficiency,"cortisone, dexamethasone"
Adrenocortical Insufficiency,"cosyntropin, dexamethasone, hydrocortisone, prednisone, triamcinolone"
Adrenogenital Syndrome,"dexamethasone, fludrocortisone, methylprednisolone, prednisone"
Adult Human Growth Hormone Deficiency,somatropin
Aggressive Behavior,haloperidol
Agitated State,"aripiprazole, loxapine, olanzapine"
Agitation,"amitriptyline ,  perphenazine, citalopram, loxapine, olanzapine, risperidone"
Agoraphobia,fluoxetine
Akathisia,propranolol
Alcohol Dependence,"acamprosate, disulfiram, naltrexone, ondansetron"
Alcohol Withdrawal,"atenolol, baclofen, chlordiazepoxide, clonidine, clorazepate, diazepam, gabapentin, oxazepam"
Alcoholic Liver Damage,"oxandrolone, propylthiouracil"
Alcoholism,gabapentin enacarbil
Alkalosis,ammonium chloride
Alkylating Agent Cystitis,"citric acid ,  sodium citrate, sodium bicarbonate"
Allergic Asthma,"salmeterol, terbutaline"
Allergic Reactions,"chlorpheniramine, cyproheptadine, diphenhydramine, epinephrine, loratadine, prednisone, promethazine, triamcinolone"
Allergic Rhinitis,"azelastine, cetirizine, diphenhydramine, fexofenadine, fluticasone, levocetirizine, loratadine, montelukast, prednisone"
Allergic Urticaria,"carbinoxamine, famotidine, hydroxyzine, tetracaine, triprolidine"
Allergies,"chlorpheniramine ,  ibuprofen ,  phenylephrine, corticotropin, dexbrompheniramine, dexbrompheniramine ,  phenylephrine, doxylamine, hydroxyzine, levocetirizine, loratadine, triprolidine"
Alopecia,"minoxidil, spironolactone, sulfasalazine, triamcinolone"
Alpha-1 Proteinase Inhibitor Deficiency,alpha 1-proteinase inhibitor
Alport Syndrome,"candesartan, enalapril, fosinopril, lisinopril, losartan, quinapril"
Alzheimer's Disease,"donepezil, donepezil ,  memantine, ergoloid mesylates, etanercept, galantamine, memantine, rivastigmine, vitamin e"
Amebiasis,"chloroquine, doxycycline, metronidazole, nitazoxanide, paromomycin, tinidazole"
Amenorrhea,"medroxyprogesterone, norethindrone, progesterone"
Amyloid Cardiomyopathy,tafamidis
Amyloidogenic Transthyretin Amyloidosis,"inotersen, patisiran"
Amyloidosis,colchicine
Amyotrophic Lateral Sclerosis,"edaravone, riluzole"
Anal Cancer,"capecitabine, cisplatin, fluorouracil, mitomycin"
Anal Fissure and Fistula,nitroglycerin
Anal Itching,"benzocaine, clobetasol, hydrocortisone, lidocaine, zinc oxide"
Anaphylaxis,"epinephrine, promethazine"
Anaplastic Astrocytoma,"procarbazine, temozolomide"
Anaplastic Oligodendroglioma,"lomustine, procarbazine, temozolomide, vincristine"
Androgenetic Alopecia,"finasteride, ketoconazole"
Anemia,"epoetin alfa, lenalidomide, multivitamin with iron, oxymetholone, pyridoxine"
Anemia Associated with Chronic Renal Failure,"darbepoetin alfa, epoetin alfa, epoetin beta-methoxy polyethylene glycol, ferrous fumarate, ferrous gluconate, ferrous sulfate"
Anemia Associated with Iron Deficiency,"ferrous fumarate ,  folic acid"
Anemia Prior to Surgery,epoetin alfa
"Anemia, Chemotherapy Induced","darbepoetin alfa, epoetin alfa"
"Anemia, Drug Induced",epoetin alfa
"Anemia, Megaloblastic","folic acid, leucovorin"
"Anemia, Sickle Cell","crizanlizumab, glutamine, hydroxyurea, vitamin e"
Anesthesia,"cisatracurium, etomidate, fentanyl, glycopyrrolate, hyoscyamine, ketamine, lidocaine, lidocaine ,  prilocaine, propofol, rocuronium, succinylcholine, vecuronium"
Anesthetic Adjunct,"atracurium, butorphanol, fentanyl, hydromorphone, methohexital"
Angina,"amlodipine, amlodipine ,  atorvastatin, aspirin, atenolol, carvedilol, enoxaparin, isosorbide dinitrate, isosorbide mononitrate, metoprolol, nitroglycerin, ranolazine"
Angina Pectoris Prophylaxis,"aspirin, atenolol, bisoprolol, diltiazem, isosorbide dinitrate, isosorbide mononitrate, metoprolol, nifedipine, nitroglycerin"
Angioblastoma,interferon alfa-2b
Angiocardiography,iohexol
Angioedema,danazol
Angiostrongylosis,mebendazole
Ankylosing Spondylitis,"adalimumab, aspirin, celecoxib, diclofenac, etanercept, indomethacin, infliximab, naproxen, prednisone, sulindac"
Anorexia,"cyproheptadine, dronabinol, megestrol, olanzapine"
Anorexia Nervosa,"cyproheptadine, olanzapine"
Anorexia/Feeding Problems,fluvoxamine
Anthrax,"anthrax immune globulin intravenous, chloramphenicol, ciprofloxacin, doxycycline, levofloxacin, moxifloxacin, ofloxacin, penicillin g potassium"
Anthrax Prophylaxis,"amoxicillin, anthrax vaccine adsorbed, ciprofloxacin, doxycycline, levofloxacin, moxifloxacin, ofloxacin"
Anti NMDA Receptor Encephalitis,immune globulin intravenous
Anticholinergic Syndrome,physostigmine
Anticholinesterase Overdose,pralidoxime
Anticholinesterase Poisoning,atropine
Anticoagulation During Pregnancy,heparin
Antiphospholipid Syndrome,"aspirin, heparin, warfarin"
Antithrombin III Deficiency,"antithrombin (recombinant), antithrombin iii"
Anxiety,"alprazolam, bupropion, buspirone, clonazepam, clonidine, diazepam, duloxetine, escitalopram, gabapentin, hydroxyzine, lorazepam, mirtazapine, paroxetine, propranolol, trazodone, venlafaxine"
Anxiety and Stress,"amitriptyline, citalopram, fluoxetine, fluvoxamine, paroxetine, prazosin, sertraline, venlafaxine"
Aortic Aneurysm,metoprolol
Aortic Stenosis,propranolol
Aortography,"iodixanol, iohexol"
"Aphthous Stomatitis, Recurrent","colchicine, hydrocortisone"
Aphthous Ulcer,"benzocaine, dexamethasone, triamcinolone"
Aplastic Anemia,"eltrombopag, filgrastim, lymphocyte immune globulin, anti-thy (equine), sargramostim"
Apnea of Prematurity,"caffeine, theophylline"
Appendectomy,"piperacillin ,  tazobactam"
Appendicitis,"piperacillin ,  tazobactam"
Arrhythmia,"amiodarone, disopyramide, dofetilide, lidocaine, mexiletine, phenytoin, procainamide, propranolol, quinidine, verapamil"
Arsenic Poisoning,dimercaprol
Arteriosclerotic Dementia,ergoloid mesylates
Arthrography,iohexol
Ascariasis,"albendazole, ivermectin, mebendazole, nitazoxanide, pyrantel"
Ascites,"amiloride, bumetanide, ethacrynic acid, furosemide, hydrochlorothiazide ,  spironolactone, torsemide, triamterene"
Aseptic Necrosis,"alendronate, aspirin, diclofenac, ibuprofen, naproxen"
Asperger Syndrome,"lisdexamfetamine, olanzapine, risperidone"
"Aspergillosis, Aspergilloma","amphotericin b, amphotericin b lipid complex, itraconazole"
"Aspergillosis, Invasive","amphotericin b, amphotericin b lipid complex, amphotericin b liposomal, caspofungin, isavuconazonium, itraconazole, posaconazole, voriconazole"
Aspiration Pneumonia,"amoxicillin ,  clavulanate, ampicillin ,  sulbactam, cefoxitin, cilastatin ,  imipenem, clindamycin, dexamethasone, lansoprazole, metronidazole, piperacillin ,  tazobactam, prednisone"
Asthma,"ciclesonide, dexamethasone, flunisolide, fluticasone ,  vilanterol, formoterol ,  mometasone, ipratropium, levalbuterol, methylprednisolone, montelukast, prednisone, triamcinolone"
"Asthma, Maintenance","albuterol, beclomethasone, budesonide, budesonide ,  formoterol, fluticasone, fluticasone ,  salmeterol, montelukast, theophylline"
"Asthma, acute","albuterol, dexamethasone, epinephrine, hydrocortisone, levalbuterol, methylprednisolone, prednisolone, terbutaline, theophylline"
Asystole,"calcium chloride, epinephrine, sodium bicarbonate, vasopressin"
Atherosclerosis,rosuvastatin
Atopic Dermatitis,"azathioprine, betamethasone, clobetasol, desonide, desoximetasone, dexamethasone, fluocinolone, fluocinonide, fluticasone, hydrocortisone, methylprednisolone, mometasone, prednisone, tacrolimus, triamcinolone"
Atrial Fibrillation,"carvedilol, clonidine, digoxin, diltiazem, dronedarone, flecainide, metoprolol, propafenone, propranolol, rivaroxaban, sotalol"
Atrial Flutter,"diltiazem, dronedarone, esmolol, flecainide, ibutilide, propafenone, sotalol"
Atrial Tachycardia,"adenosine, verapamil"
Atrophic Urethritis,"conjugated estrogens, estradiol, estradiol ,  norethindrone"
Atrophic Vaginitis,"conjugated estrogens, estradiol"
Auditory Processing Disorder,dexmethylphenidate
Autism,"aripiprazole, bumetanide, memantine, paliperidone, risperidone, venlafaxine, ziprasidone"
Autoimmune Hemolytic Anemia,prednisone
Autoimmune Hepatitis,"azathioprine, budesonide, mercaptopurine, mycophenolate mofetil"
Autoimmune Neutropenia,immune globulin intravenous
Avian Influenza,"influenza virus vaccine, h5n1, oseltamivir"
B Cell Lymphoma,tisagenlecleucel
B12 Nutritional Deficiency,cyanocobalamin
Babesiosis,"atovaquone, azithromycin, clindamycin"
Back Pain,"acetaminophen ,  hydrocodone, aspirin, diclofenac, duloxetine, ibuprofen, nabumetone, naproxen, tramadol"
Bacteremia,"amikacin, cefepime, cefotaxime, ceftazidime, ceftriaxone, cilastatin ,  imipenem, ciprofloxacin, clindamycin, gentamicin, linezolid, metronidazole, piperacillin ,  tazobactam, vancomycin"
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),"amoxicillin, ampicillin, azithromycin, cefadroxil, cefazolin, ceftriaxone, cephalexin, clarithromycin, clindamycin, erythromycin, gentamicin, vancomycin"
Bacterial Infection,"amoxicillin, amoxicillin ,  clavulanate, azithromycin, ceftriaxone, cefuroxime, cephalexin, ciprofloxacin, clindamycin, doxycycline, levofloxacin, metronidazole, sulfamethoxazole ,  trimethoprim, vancomycin"
Bacterial Skin Infection,"bacitracin, bacitracin ,  hydrocortisone ,  neomycin ,  polymyxin b, bacitracin ,  neomycin ,  polymyxin b, bacitracin ,  neomycin ,  polymyxin b ,  pramoxine, bacitracin ,  polymyxin b, benzalkonium chloride ,  lidocaine, fluocinolone ,  neomycin, hydrocortisone ,  neomycin ,  polymyxin b, neomycin ,  polymyxin b ,  pramoxine, sulfamethoxazole ,  trimethoprim"
Bacterial Vaginitis,"acetic acid, clindamycin, metronidazole, secnidazole, tinidazole"
Balanoposthitis,"clotrimazole, metronidazole, miconazole"
Balantidium coli,metronidazole
Barium Meal Transit,sincalide
Barium Poisoning,magnesium sulfate
Barrett's Esophagus,"dexlansoprazole, esomeprazole, lansoprazole, omeprazole, pantoprazole, rabeprazole"
Bartonellosis,"azithromycin, doxycycline, erythromycin, minocycline, rifampin"
Bartter Syndrome,indomethacin
Basal Cell Carcinoma,"fluorouracil, imiquimod, sonidegib, vismodegib"
Beef Tapeworm Infection (Taenia saginata),"paromomycin, praziquantel"
Behcet's Disease,"adalimumab, apremilast, azathioprine, colchicine, etanercept, infliximab"
Bejel,penicillin g benzathine
Benign Essential Tremor,"gabapentin, metoprolol, nadolol, primidone, propranolol, zonisamide"
Benign Prostatic Hyperplasia,"alfuzosin, doxazosin, dutasteride, dutasteride ,  tamsulosin, finasteride, prazosin, silodosin, tadalafil, tamsulosin, terazosin"
Benzodiazepine Overdose,flumazenil
Benzodiazepine Withdrawal,"clonazepam, clonidine"
Beriberi,thiamine
Berylliosis,"cortisone, prednisone, triamcinolone"
Beta Thalassemia,luspatercept
Bile Acid Synthesis Disorders,cholic acid
Binge Eating Disorder,"fluoxetine, lisdexamfetamine"
Bipolar Disorder,"aripiprazole, bupropion, clonazepam, divalproex sodium, gabapentin, lamotrigine, lithium, olanzapine, oxcarbazepine, quetiapine, risperidone, sertraline, topiramate, venlafaxine"
Birth Control (Contraception),"ethinyl estradiol ,  levonorgestrel, ethinyl estradiol ,  norethindrone, ethinyl estradiol ,  norgestimate, levonorgestrel, medroxyprogesterone, norethindrone"
Bladder Cancer,"atezolizumab, cisplatin, cyclophosphamide, doxorubicin, erdafitinib, methotrexate, mitomycin, thiotepa"
Bladder Infection,"amoxicillin, cefpodoxime, cefuroxime, cephalexin, ciprofloxacin, fosfomycin, levofloxacin, methenamine, nitrofurantoin, trimethoprim"
Blastomycosis,"amphotericin b, amphotericin b lipid complex, fluconazole, itraconazole, ketoconazole, voriconazole"
Bleeding Disorder,"dextran, high molecular weight, goserelin, tranexamic acid"
Blepharitis,"bacitracin ,  neomycin ,  polymyxin b, bacitracin ,  polymyxin b, dexamethasone ,  neomycin ,  polymyxin b, gentamicin ,  prednisolone, hydrocortisone ,  neomycin ,  polymyxin b, prednisolone ,  sulfacetamide sodium"
